A,B
[method=saturation_p],
T,out_pre
393.15,4211067
403.15,5063210
413.15,6079500
423.15,7239671
405,5071000
415,6096000
425,7193000
393.15,4112780
383.82,3407560
393.5,4121901
405.09,5084488
417.35,6275057
418.7,6411846
424.3,7059312
429.26,7688541
429.45,7693607
412.38,5835800
413.41,5935900
413.73,5978000
392.988,4139800
402.99,4946600
413.108,5937900
423.535,7103900
429.442,7817500
391.2,4053000
414.9,6079500
393,4078300
403,4902100
413,5836300
423,6707700
428,7543600
430.65,7882000
429.45,7693600
429.26,7688600
424.3,7059300
418.7,6411900
417.35,6275100
405.09,5084500
393.5,4121900
427.55,7443400
421.95,6765400
414.75,6000400
403.45,4921300
395.45,4253500
430.65,7883800
428.15,7571800
423.15,6976600
418.15,6416300
413.15,5891800
408.15,5400500
403.15,4941300
398.15,4512400
393.15,4112600
388.15,3740500
