T,Vapour Pressure,,,,,,
351.49,2030,,,,,,
359.41,3150,,,,,,
368.35,5250,,,,,,
377.59,8010,,,,,,
390.91,14790,,,,,,
396.09,17630,,,,,,
402.32,24830,,,,,,
412.23,35650,,,,,,
421.98,50690,,,,,,
428.39,78230,,,,,,
429.63,65580,,,,,,
433.51,76890.01,,,,,,
440.88,104660,,,,,,
443.16,134610,,,,,,
446.07,123480,,,,,,
450.53,138780,,,,,,
453.17,171290,,,,,,
456.18,160330,,,,,,
463.16,222780,,,,,,
464.34,203020,,,,,,
473.15,281240,,,,,,
483.16,344260,,,,,,
493.17,429690,,,,,,
503.17,539500,,,,,,
513.16,642430.1,,,,,,
523.15,775490.1,,,,,,
533.16,925140,,,,,,
543.15,1107590,,,,,,
553.16,1349980,,,,,,
563.16,1638380,,,,,,
573.16,1848240,,,,,,
593.16,2518550,,,,,,
603.17,2898080,,,,,,
613.16,3395280,,,,,,
623.17,4023590,,,,,,
