Epsilon,,,,,,Lambda R,,,,,,,Epsilon Assoc,,BondVol,,,
,,,,,,,,,,,,,,,,,,
,NH2,CH2,CH2OH,H2O,,,NH2,CH2,CH2OH,H2O,,NH2h - NH2e,1070.8,,95.225,,,
NH2,284.78,348.39,528.21,358.55,,NH2,10.254,14.06265041,52.305,13.08469534,,NH2h-CH2OHe,629.88,,346.08,,,
CH2,348.39,473.39,423.17,423.63,,CH2,14.06265041,19.871,21.2302449,100,,NH2h-H2Oe,1988.3,,55.824,,,
CH2OH,528.21,423.17,407.22,353.37,,CH2OH,52.305,21.2302449,22.699,19.6186636,,CH2OHh-NH2e,2403.78,,26.192,,,
H2O,358.55,423.63,353.37,266.68,,H2O,13.08469534,100,19.6186636,17.02,,CH2OHh-CH2OHe,2097.9,,62.309,,,
,,,,,,,,,,,,CH2OHh-H2Oe,621.68,,425,,,
Pure component Values,,,,,,,,,,,,H2Oh-NH2e,1460,,179.6,,,
,,,,,,,,,,,,H2Oh-CH2OHe,2153.2,,147.4,,,
,Vk,Sk,LambR,LambA,Sigma,Epsilon,nH,nE,,,,H2Oh-H20e,1985.4,,101.69,,,
NH2,1,0.79675,10.254,6,3.2477,284.78,2,1,,,,,,,,,,
CH2,1,0.22932,19.871,6,4.8801,473.39,0,0,,,,,,,,,,
CH2OH,2,0.58538,22.699,6,3.4054,407.22,1,2,,,,,,,,,,
H2O,1,1,17.02,6,3.0063,266.68,2,2,,,,,,,,,,
