Clapeyron Estimator,,,,
[method=partial_SO2],,,,
T,w,loading,out_partial,
293,0.1,0.0341914,9.494691904,
293,0.1,0.0463291,10.18780146,
293,0.1,0.0683923,10.59327911,
293,0.1,0.108695,10.88094864,
293,0.1,0.122807,11.12645383,
313,0.1,0.0285087,9.494691904,
313,0.1,0.0386155,10.18780146,
313,0.1,0.0570175,10.59327911,
313,0.1,0.0906749,10.88094864,
313,0.1,0.102498,11.12645383,
333,0.1,0.0237414,9.494691904,
333,0.1,0.0322273,10.18780146,
333,0.1,0.0475781,10.59327911,
333,0.1,0.0756101,10.88094864,
333,0.1,0.0855262,11.12645383,
293,0.2,0.0468153,9.494691904,
293,0.2,0.0768496,10.18780146,
293,0.2,0.102689,10.59327911,
293,0.2,0.146834,10.88094864,
293,0.2,0.179729,11.12645383,
313,0.2,0.0387108,9.494691904,
313,0.2,0.0641685,10.18780146,
313,0.2,0.0857169,10.59327911,
313,0.2,0.122425,10.88094864,
313,0.2,0.149981,11.12645383,
333,0.2,0.0326086,9.494691904,
333,0.2,0.053585,10.18780146,
333,0.2,0.0715102,10.59327911,
333,0.2,0.102212,10.88094864,
333,0.2,0.12519,11.12645383,
293,0.3,0.0682684,9.494691904,
293,0.3,0.0974445,10.18780146,
293,0.3,0.127383,10.59327911,
293,0.3,0.192887,10.88094864,
293,0.3,0.238081,11.12645383,
313,0.3,0.0570175,9.494691904,
313,0.3,0.0917237,10.18780146,
313,0.3,0.106216,10.59327911,
313,0.3,0.160946,10.88094864,
313,0.3,0.198703,11.12645383,
333,0.3,0.0475781,9.494691904,
333,0.3,0.0765636,10.18780146,
333,0.3,0.0885773,10.59327911,
333,0.3,0.134248,10.88094864,
333,0.3,0.165808,11.12645383,
293,0.4,0.0968725,9.494691904,
293,0.4,0.147502,10.18780146,
293,0.4,0.204233,10.59327911,
293,0.4,0.25696,10.88094864,
293,0.4,0.338386,11.12645383,
313,0.4,0.0808542,9.494691904,
313,0.4,0.123093,10.18780146,
313,0.4,0.170385,10.59327911,
313,0.4,0.214817,10.88094864,
313,0.4,0.282418,11.12645383,
333,0.4,0.0675056,9.494691904,
333,0.4,0.102689,10.18780146,
333,0.4,0.106598,10.59327911,
333,0.4,0.147502,10.88094864,
333,0.4,0.20757,11.12645383,
293,0.5,0.118421,9.494691904,
293,0.5,0.213863,10.18780146,
293,0.5,0.252383,10.59327911,
293,0.5,0.293096,10.88094864,
293,0.5,0.426487,11.12645383,
313,0.5,0.0987794,9.494691904,
313,0.5,0.178585,10.18780146,
313,0.5,0.194794,10.59327911,
313,0.5,0.24466,10.88094864,
313,0.5,0.356025,11.12645383,
333,0.5,0.0855262,9.494691904,
333,0.5,0.122521,10.18780146,
333,0.5,0.129481,10.59327911,
333,0.5,0.192982,10.88094864,
333,0.5,0.244565,11.12645383,
