Clapeyron Estimator ,,,
[method=partial_SO2],,,
T,w,loading,out_partial
293,0.3,0.0682684,9.494691904
293,0.3,0.0974445,10.18780146
293,0.3,0.127383,10.59327911
293,0.3,0.192887,10.88094864
293,0.3,0.238081,11.12645383
313,0.3,0.0570175,9.494691904
313,0.3,0.0917237,10.18780146
313,0.3,0.106216,10.59327911
313,0.3,0.160946,10.88094864
313,0.3,0.198703,11.12645383
333,0.3,0.0475781,9.494691904
333,0.3,0.0765636,10.18780146
333,0.3,0.0885773,10.59327911
333,0.3,0.134248,10.88094864
333,0.3,0.165808,11.12645383
